Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Muscogee County, GA",13215,None checked,1,2824,27.33,38.08,38.16,3149.8,27.34,11.56
2018-01-01,"St. Louis city, MO",29510,None checked,1,4086,28.67,38.15,38.16,3123.18,27.28,9.78
2018-01-01,"Alachua County, FL",12001,None checked,1,2728,29.17,38.26,38.41,3189.71,26.97,10.74
2018-01-01,"Gwinnett County, GA",13135,None checked,1,10777,29.89,38.35,38.41,3209.55,26.74,12.24
2018-01-01,"Marion County, IN",18097,None checked,1,13886,28.19,38.33,38.41,3228.52,28.34,10.78
2018-01-01,"Cuyahoga County, OH",39035,None checked,1,13504,28.85,38.27,38.41,3184.53,27.52,11.75
2018-01-01,"Unidentified Counties, OK",40999,None checked,1,22888,26.69,38.23,38.41,3271.98,28.07,10.82
2018-01-01,"Wilson County, TN",47189,None checked,1,1637,28.94,38.34,38.41,3285.3,26.73,11.81
2018-01-01,"Santa Clara County, CA",06085,None checked,1,20906,31.68,38.61,38.66,3260.48,25.47,11.92
2018-01-01,"Denver County, CO",08031,None checked,1,9262,30.27,38.63,38.66,3176.15,25.93,10.61
2018-01-01,"DuPage County, IL",17043,None checked,1,10157,31.2,38.49,38.66,3303.11,26.23,12.24
2018-01-01,"Porter County, IN",18127,None checked,1,1659,28.89,38.52,38.66,3341.44,28.07,10.74
2018-01-01,"Johnson County, KS",20091,None checked,1,7060,30.64,38.55,38.66,3351.33,26.18,11.77
2018-01-01,"Oakland County, MI",26125,None checked,1,12952,30.57,38.56,38.66,3289.6,26.31,13.08
2018-01-01,"Craven County, NC",37049,None checked,1,1310,26.88,38.5,38.66,3255.27,27.89,12.54
2018-01-01,"Forsyth County, NC",37067,None checked,1,4245,28.69,38.26,38.66,3206.86,27.66,13.62
2018-01-01,"Clermont County, OH",39025,None checked,1,2243,28.53,38.47,38.66,3315.84,27.54,12.21
2018-01-01,"Warren County, OH",39165,None checked,1,2241,29.86,38.46,38.66,3328.58,26.57,11.98
2018-01-01,"Unidentified Counties, OH",39999,None checked,1,30071,27.33,38.43,38.66,3303.32,27.86,11.54
2018-01-01,"Hampton city, VA",51650,None checked,1,1623,27.73,38.4,38.66,3208.42,28.42,12.11
2018-01-01,"Washington County, WI",55131,None checked,1,1278,30.3,38.4,38.66,3335.45,27.41,13.04
